sample_id,Genus,Abundance,CT,p_kw,p_kw_fdr
SRR10333320,13-2-20CM-66-19,0.013019739,2,0.022961545785436143,0.022961545785436143
SRR10333320,Acidiphilium,1.4782e-4,2,0.022961545785436143,0.022961545785436143
SRR10333320,Actinoplanes,0.022101451,2,0.022961545785436143,0.022961545785436143
SRR10333320,Bradyrhizobium,0.024605158,2,0.022961545785436143,0.022961545785436143
SRR10333320,JABEUN01,0,2,0.022961545785436143,0.022961545785436143
SRR10333320,JAJZBZ01,0,2,0.022961545785436143,0.022961545785436143
SRR10333320,JAKAAZ01,0,2,0.022961545785436143,0.022961545785436143
SRR10333320,JAMDCX01,0,2,0.022961545785436143,0.022961545785436143
SRR10333320,Streptomyces,0.042542233,2,0.022961545785436143,0.022961545785436143
SRR10333320,Thiomonas,0,2,0.022961545785436143,0.022961545785436143
SRR10333320,UBA4572,0,2,0.022961545785436143,0.022961545785436143
SRR10333321,13-2-20CM-66-19,0.011013027,2,0.022961545785436143,0.022961545785436143
SRR10333321,Acidiphilium,8.46e-5,2,0.022961545785436143,0.022961545785436143
SRR10333321,Actinoplanes,0.018968054,2,0.022961545785436143,0.022961545785436143
SRR10333321,Bradyrhizobium,0.02680806,2,0.022961545785436143,0.022961545785436143
SRR10333321,JABEUN01,0,2,0.022961545785436143,0.022961545785436143
SRR10333321,JAJZBZ01,0,2,0.022961545785436143,0.022961545785436143
SRR10333321,JAKAAZ01,7.54e-5,2,0.022961545785436143,0.022961545785436143
SRR10333321,JAMDCX01,0,2,0.022961545785436143,0.022961545785436143
SRR10333321,Streptomyces,0.039071786,2,0.022961545785436143,0.022961545785436143
SRR10333321,Thiomonas,0,2,0.022961545785436143,0.022961545785436143
SRR10333321,UBA4572,0,2,0.022961545785436143,0.022961545785436143
SRR10333322,13-2-20CM-66-19,0.019082121,2,0.022961545785436143,0.022961545785436143
SRR10333322,Acidiphilium,1.74199e-4,2,0.022961545785436143,0.022961545785436143
SRR10333322,Actinoplanes,0.020514092,2,0.022961545785436143,0.022961545785436143
SRR10333322,Bradyrhizobium,0.021441183,2,0.022961545785436143,0.022961545785436143
SRR10333322,JABEUN01,0,2,0.022961545785436143,0.022961545785436143
SRR10333322,JAJZBZ01,0,2,0.022961545785436143,0.022961545785436143
SRR10333322,JAKAAZ01,0.001883706,2,0.022961545785436143,0.022961545785436143
SRR10333322,JAMDCX01,0,2,0.022961545785436143,0.022961545785436143
SRR10333322,Streptomyces,0.037623932,2,0.022961545785436143,0.022961545785436143
SRR10333322,Thiomonas,0,2,0.022961545785436143,0.022961545785436143
SRR10333322,UBA4572,0,2,0.022961545785436143,0.022961545785436143
SRR10333323,13-2-20CM-66-19,0.011987877,2,0.022961545785436143,0.022961545785436143
SRR10333323,Acidiphilium,1.29141e-4,2,0.022961545785436143,0.022961545785436143
SRR10333323,Actinoplanes,0.021808614,2,0.022961545785436143,0.022961545785436143
SRR10333323,Bradyrhizobium,0.028390747,2,0.022961545785436143,0.022961545785436143
SRR10333323,JABEUN01,0,2,0.022961545785436143,0.022961545785436143
SRR10333323,JAJZBZ01,0,2,0.022961545785436143,0.022961545785436143
SRR10333323,JAKAAZ01,0.001616275,2,0.022961545785436143,0.022961545785436143
SRR10333323,JAMDCX01,0,2,0.022961545785436143,0.022961545785436143
SRR10333323,Streptomyces,0.041894008,2,0.022961545785436143,0.022961545785436143
SRR10333323,Thiomonas,0,2,0.022961545785436143,0.022961545785436143
SRR10333323,UBA4572,0,2,0.022961545785436143,0.022961545785436143
SRR10333324,13-2-20CM-66-19,0.008039961,2,0.022961545785436143,0.022961545785436143
SRR10333324,Acidiphilium,0,2,0.022961545785436143,0.022961545785436143
SRR10333324,Actinoplanes,0.020521987,2,0.022961545785436143,0.022961545785436143
SRR10333324,Bradyrhizobium,0.022156932,2,0.022961545785436143,0.022961545785436143
SRR10333324,JABEUN01,0,2,0.022961545785436143,0.022961545785436143
SRR10333324,JAJZBZ01,0,2,0.022961545785436143,0.022961545785436143
SRR10333324,JAKAAZ01,3.40719e-4,2,0.022961545785436143,0.022961545785436143
SRR10333324,JAMDCX01,0,2,0.022961545785436143,0.022961545785436143
SRR10333324,Streptomyces,0.043718876,2,0.022961545785436143,0.022961545785436143
SRR10333324,Thiomonas,0,2,0.022961545785436143,0.022961545785436143
SRR10333324,UBA4572,0,2,0.022961545785436143,0.022961545785436143
SRR10333325,13-2-20CM-66-19,0.055738427,2,0.022961545785436143,0.022961545785436143
SRR10333325,Acidiphilium,9.13489e-4,2,0.022961545785436143,0.022961545785436143
SRR10333325,Actinoplanes,0.017219353,2,0.022961545785436143,0.022961545785436143
SRR10333325,Bradyrhizobium,0.002837536,2,0.022961545785436143,0.022961545785436143
SRR10333325,JABEUN01,0,2,0.022961545785436143,0.022961545785436143
SRR10333325,JAJZBZ01,2.60006e-4,2,0.022961545785436143,0.022961545785436143
SRR10333325,JAKAAZ01,0.014718092,2,0.022961545785436143,0.022961545785436143
SRR10333325,JAMDCX01,0.01556918,2,0.022961545785436143,0.022961545785436143
SRR10333325,Streptomyces,0.037059571,2,0.022961545785436143,0.022961545785436143
SRR10333325,Thiomonas,3.62276e-4,2,0.022961545785436143,0.022961545785436143
SRR10333325,UBA4572,0.005962812,2,0.022961545785436143,0.022961545785436143
SRR10333326,13-2-20CM-66-19,0.060206084,2,0.022961545785436143,0.022961545785436143
SRR10333326,Acidiphilium,3.59794e-4,2,0.022961545785436143,0.022961545785436143
SRR10333326,Actinoplanes,0.018757488,2,0.022961545785436143,0.022961545785436143
SRR10333326,Bradyrhizobium,0.005650985,2,0.022961545785436143,0.022961545785436143
SRR10333326,JABEUN01,0,2,0.022961545785436143,0.022961545785436143
SRR10333326,JAJZBZ01,1.00149e-4,2,0.022961545785436143,0.022961545785436143
SRR10333326,JAKAAZ01,0.008264126,2,0.022961545785436143,0.022961545785436143
SRR10333326,JAMDCX01,0.004471456,2,0.022961545785436143,0.022961545785436143
SRR10333326,Streptomyces,0.037841387,2,0.022961545785436143,0.022961545785436143
SRR10333326,Thiomonas,3.95031e-4,2,0.022961545785436143,0.022961545785436143
SRR10333326,UBA4572,0.002075304,2,0.022961545785436143,0.022961545785436143
SRR10333327,13-2-20CM-66-19,0.044347029,1,0.022961545785436143,0.022961545785436143
SRR10333327,Acidiphilium,0.002802469,1,0.022961545785436143,0.022961545785436143
SRR10333327,Actinoplanes,0.014283979,1,0.022961545785436143,0.022961545785436143
SRR10333327,Bradyrhizobium,1.54589e-4,1,0.022961545785436143,0.022961545785436143
SRR10333327,JABEUN01,3.26844e-4,1,0.022961545785436143,0.022961545785436143
SRR10333327,JAJZBZ01,1.12629e-4,1,0.022961545785436143,0.022961545785436143
SRR10333327,JAKAAZ01,0.023579166,1,0.022961545785436143,0.022961545785436143
SRR10333327,JAMDCX01,0.014884666,1,0.022961545785436143,0.022961545785436143
SRR10333327,Streptomyces,0.029053808,1,0.022961545785436143,0.022961545785436143
SRR10333327,Thiomonas,1.32504e-4,1,0.022961545785436143,0.022961545785436143
SRR10333327,UBA4572,0.008224109,1,0.022961545785436143,0.022961545785436143
SRR10333328,13-2-20CM-66-19,0.064190639,1,0.022961545785436143,0.022961545785436143
SRR10333328,Acidiphilium,0.007640428,1,0.022961545785436143,0.022961545785436143
SRR10333328,Actinoplanes,0.009015906,1,0.022961545785436143,0.022961545785436143
SRR10333328,Bradyrhizobium,2.6355e-4,1,0.022961545785436143,0.022961545785436143
SRR10333328,JABEUN01,0,1,0.022961545785436143,0.022961545785436143
SRR10333328,JAJZBZ01,4.09129e-4,1,0.022961545785436143,0.022961545785436143
SRR10333328,JAKAAZ01,0.03160587,1,0.022961545785436143,0.022961545785436143
SRR10333328,JAMDCX01,0.028516065,1,0.022961545785436143,0.022961545785436143
SRR10333328,Streptomyces,0.016164375,1,0.022961545785436143,0.022961545785436143
SRR10333328,Thiomonas,2.1586e-4,1,0.022961545785436143,0.022961545785436143
SRR10333328,UBA4572,0.011257332,1,0.022961545785436143,0.022961545785436143
SRR10333329,13-2-20CM-66-19,0.073073663,1,0.022961545785436143,0.022961545785436143
SRR10333329,Acidiphilium,0.00519435,1,0.022961545785436143,0.022961545785436143
SRR10333329,Actinoplanes,0.012441345,1,0.022961545785436143,0.022961545785436143
SRR10333329,Bradyrhizobium,8.73617e-4,1,0.022961545785436143,0.022961545785436143
SRR10333329,JABEUN01,1.23111e-4,1,0.022961545785436143,0.022961545785436143
SRR10333329,JAJZBZ01,3.33821e-4,1,0.022961545785436143,0.022961545785436143
SRR10333329,JAKAAZ01,0.031724837,1,0.022961545785436143,0.022961545785436143
SRR10333329,JAMDCX01,0.030458211,1,0.022961545785436143,0.022961545785436143
SRR10333329,Streptomyces,0.021376384,1,0.022961545785436143,0.022961545785436143
SRR10333329,Thiomonas,2.17812e-4,1,0.022961545785436143,0.022961545785436143
SRR10333329,UBA4572,0.010888248,1,0.022961545785436143,0.022961545785436143
